ID,Player Name,Name in FPL,Position,Team,News,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),,xPoints Upcoming GW,xPoints Next GW,Starts,Minutes Played,Goals,Assists,xG,xG per 90,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards),Red Cards,Saves,Saves per 90,Bonus,Total BPS,Influence,Creativity,Threat,ICT Index,Influence Rank (Position),Influence Rank (All),Creativity Rank (Position),Creativity Rank (All),Threat Rank (Position),Threat Rank (All),ICT Index Rank (Position),ICT Index Rank (All),Total Points,Transfers in (Round),Transfers in (Season),Transfers Out (Round),Transfers out (Season),Season Value (Points Per Million),Value (Form; Points Per Million),Form,Current Form Rank (All),Dream Team Count
32,Matty Cash,Cash,DEF,Aston Villa,,1.4,2.2,64,213,,1.8,0.8,9,740,1,0,0.08,0.01,0.6,0.07,0.68,0.08,1,0.12,10,1.22,9.92,1.21,0,0,0,3,0,0,0,0,79,146.6,51.9,65,26.3,84,215,71,263,55,208,79,248,22,1514,137055,3166,303579,5,0.4,1.8,175,0
33,Leander Dendoncker,Dendoncker,MID,Aston Villa,On loan to Anderlecht for the rest of the season,0.2,0,241,590,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,583,241,579,233,559,239,585,0,0,18187,192,88989,0,0,0,537,0
34,Moussa Diaby,Diaby,MID,Aston Villa,Permanent transfer to Al Ittihad,0,0,318,698,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,318,698,318,698,318,698,318,698,0,0,0,5,3327,0,0,0,695,0
35,Diego Carlos Santos Silva,Diego Carlos,DEF,Aston Villa,,0.5,2.2,66,215,,1.6,0.6,7,738,0,0,0.64,0.08,0.08,0.01,0.72,0.09,2,0.24,13,1.59,10.75,1.31,0,0,0,1,0,0,0,1,67,130,8.2,52,19.1,87,236,124,382,70,234,93,290,20,525,46046,961,67622,4.4,0.4,1.6,198,0
36,Lucas Digne,Digne,DEF,Aston Villa,,9.2,2.8,39,143,,1.4,0.4,14,1163,0,3,0.54,0.04,2.34,0.18,2.88,0.22,2,0.15,19,1.47,15.32,1.19,0,0,0,3,0,0,0,6,195,262.8,349.3,75,68.8,33,92,4,30,45,194,11,68,44,3662,1498978,34408,804791,9.4,0.3,1.4,215,2
37,Lewis Dobbin,Dobbin,MID,Aston Villa,Permanent transfer to West Bromwich Albion,0,0,307,681,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,680,307,677,305,673,307,680,0,0,0,1,273,0,0,0,663,0
38,Jhon Dur·n,Duran,FWD,Aston Villa,,3,2.9,21,140,,3,2,2,478,6,0,4.08,0.77,0.22,0.04,4.3,0.81,1,0.19,10,1.88,8.17,1.54,0,0,0,3,0,0,0,8,193,229.8,62.8,276,57,17,129,29,239,17,45,21,100,46,21249,1022934,4461,822701,7.9,0.5,3,98,0
39,Joe Gauci,Gauci,GKP,Aston Villa,,0.8,0,60,520,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,515,38,497,28,457,60,517,0,119,60146,502,48288,0,0,0,442,0
40,Kortney Hause,Hause,DEF,Aston Villa,,0.5,0,168,494,,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,169,488,168,468,151,428,169,490,0,148,35322,443,48202,0,0,0,412,0
41,Samuel Iling-Junior,Iling Jr,MID,Aston Villa,Season long loan to Bologna,0,0,314,691,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,691,314,690,312,688,314,691,0,0,342,6,6628,0,0,0,684,0
