FPL Name-Team,Player Name,Name in FPL,Position,Team,Teams Selected By %,PPG,PPG Rank (Position),PPG Rank (All),Starts,Minutes Played,Goals,xG,xG per 90,Assists,xA,xA per 90,xGI,xGI per 90,Clean Sheets,Clean Sheets per 90,Goals Conceded,Goals Conceded per 90,xGC,xGC per 90,Penalties Missed,Penalties Saved,Saves,Saves per 90,Bonus,Total BPS,Influence,Influence Rank (Position),Influence Rank (All),Creativity,Creativity Rank (Position),Creativity Rank (All),Threat,Threat Rank (Position),Threat Rank (All),ICT Index,ICT Index Rank (Position),ICT Index Rank (All),Total Points,Season Value (Points Per Million),Overall Rank by Position,Overall Rank
M.Asensio-Aston Villa,Marco Asensio,M.Asensio,MID,Aston Villa,2.4,3.4,50,110,9,740,3,4.43,0.54,2,1.16,0.14,5.59,0.68,3,0.36,8,0.97,11.11,1.35,2,0,0,0,6,158,200.6,141,311,232.5,127,185,242,92,143,67.2,125,244,44,7.3,41,126
Aarons-Bournemouth,Max Aarons,Aarons,DEF,Bournemouth,0.1,2.7,55,183,1,84,0,0,0,0,0.01,0.01,0.01,0.01,1,1.07,0,0,0.28,0.3,0,0,0,0,0,31,13.2,179,496,3.2,173,484,0,249,627,1.7,178,514,8,1.9,159,448
Adams-Bournemouth,Tyler Adams,Adams,MID,Bournemouth,0.1,2.1,122,278,21,1959,0,1.33,0.06,3,0.76,0.03,2.09,0.09,6,0.28,30,1.38,29.26,1.34,0,0,0,0,1,315,411.8,72,176,261.2,117,168,83,164,293,75.9,112,216,58,11.8,193,517
Anthony-Bournemouth,Jaidon Anthony,Anthony,MID,Bournemouth,0.1,0,275,706,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,274,701,0,274,697,0,265,678,0,274,701,0,0,172,472
Brooks-Bournemouth,David Brooks,Brooks,MID,Bournemouth,0,1.8,155,337,9,941,2,2.58,0.25,1,2.02,0.19,4.6,0.44,3,0.29,12,1.15,15.03,1.44,0,0,0,0,2,204,193.6,144,319,316.7,94,134,300,75,113,80.4,103,201,52,10.6,237,606
Christie-Bournemouth,Ryan Christie,Christie,MID,Bournemouth,0.1,2.6,79,192,27,2114,2,2.14,0.09,3,2.9,0.12,5.04,0.21,8,0.34,28,1.19,30.17,1.28,0,0,0,0,5,435,514,53,135,576.8,50,60,303,73,110,139.6,58,88,76,15.8,151,437
Cook-Bournemouth,Lewis Cook,Cook,MID,Bournemouth,0.1,2.3,104,242,32,2976,1,0.94,0.03,4,3.76,0.11,4.7,0.14,5,0.15,44,1.33,45.25,1.37,0,0,0,0,3,500,607,35,96,727.1,29,33,114,146,258,144.9,54,80,82,16.4,140,407
Enes ‹nal-Bournemouth,Enes ‹nal,Enes ‹nal,FWD,Bournemouth,0.1,1.9,36,321,2,330,2,2.73,0.74,1,0.26,0.07,2.99,0.81,2,0.55,3,0.82,6.38,1.74,0,0,0,0,4,97,104,36,395,56.1,39,353,207,35,169,35.9,37,341,32,5.9,70,520
Faivre-Bournemouth,Romain Faivre,Faivre,MID,Bournemouth,0,0,337,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,337,784,0,337,783,0,335,776,0,337,784,0,0,311,746
H.TraorË-Bournemouth,Hamed TraorË,H.TraorË,MID,Bournemouth,0,0,274,705,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,700,0,273,696,0,264,676,0,273,700,0,0,215,566
Hill-Bournemouth,James Hill,Hill,DEF,Bournemouth,0.5,1.7,110,345,6,443,0,0.29,0.06,1,0.25,0.05,0.54,0.11,1,0.2,9,1.83,8.54,1.73,0,0,0,0,0,55,97,145,403,38.4,134,385,29,130,382,16.6,142,411,17,4.4,105,268
